query,Post ID,Post Content,nickname,link
集体行动; 2018-02-19; 1; 10,1,		新年初三。先吃顿红红火火的烤鱼爽歪歪，再看个热血沸腾的红海行动爱国范儿，苦于影院太多人，中途集体回我家释放一番后，还来一场久经煎熬而不得的湘潭米粉嗦个够～三个女人一台戏，女司机、活导航、和我的一夜激情戏 ​		,Dear戴児莉,//weibo.com/1054660250/G3OjXemSs?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,2,		从个人英雄主义到集体主义 从刀枪不入到有血有肉 《红海行动》(来自 @豆瓣App) |嘴里一颗糖... ​		,Leo_傲来,//weibo.com/3157558022/G3O8LmZia?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,3,		战狼确实透支了很多情感 第一次听说春节上映红海行动，第一反应是又跟战狼一样情节，说什么都不会去看的 但是好评如潮中最打动我的是那句我们不一样看过才深刻，感觉战狼的格局原不如红海行动个人再强大也比不过团队集体的力量 红海行动不煽情不做作一切都恰到好处 但每个人都印象深刻细节把握也很到位		,Johnny芥子瑜,//weibo.com/1408084550/G3JtzdQ1f?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,4,|红海行动，《红海行动》高于《战狼2》，只不过《战狼2》已经消耗或者说透支了人们的部分情感，所以在这部片子上不会给予太高的热度，二者是不同的，《红海行动》是战争，《战狼2》是一个人或者说一群人的战斗，级别不同。林超贤不断超越自己，《红海行动》已 ​		...展开全文c,NA,//weibo.com/5225316591/G3NsGdFtU?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,5,		我喜欢不迟到的人。喜欢不说谎的人。喜欢有真性情的人。我也喜欢沉默的说话适可而止的人。喜欢说出的话与行动相符的人。喜欢内心有温柔和想象力的人。喜欢对一切持有善意而又有力的人。喜欢内心有价值观态度坚定不屈服于集体的人。喜欢孩子一样容易付出容易受伤容易复原的人。喜欢相信爱和实践爱的人。 ​		,罗伯特箥蘿鑵頭,//weibo.com/5311524425/G3NjozJQ4?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,6,		推荐电影《红海行动》，昨天晚上刚刷完，特别棒。剧情，剧本，场面，演员表演，导演，正能量，集体主义精神，规模，都很棒。硬找槽点的话，无人机莫名其妙的起火是个硬伤，这是说国货不行啊还是国家穷就一架无人机啊？正常应该出动三架以上，彰显大国实力，坦克也应该多数交给无人机干掉，增加剧情可信 ​			...展开全文c,花千芳,//weibo.com/2759526793/G3NdX8A4J?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,7,		这几天去看了上映的电影，捉妖记2没有新意，精彩程度与1相差无几，红海行动，热血沸腾，细节也很到位，依然犯了第一滴血的毛病，只不过是集体版的第一滴血，战狼却是第一滴血的翻版，唐人街探案2却是一个黑马，王宝强被白人大哥抱起来跳舞绝对笑死人，圣母婊除外 ​		,切格瓦拉说,//weibo.com/3199800297/G3NdK7yKT?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,8,		我喜欢不迟到的人。喜欢不说谎的人。喜欢有真性情的人。我也喜欢说出的话与行动相符的人。喜欢内心有温柔和想象力的人。喜欢对一切持有善意而又有力的人。喜欢内心有价值观态度坚定不屈服于集体的人。喜欢孩子一样容易付出容易受伤容易复原的人。喜欢相信爱和实践爱[xkl追]的人。 ​		,吃货Mika_木子,//weibo.com/5801787489/G3MSst2lw?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,9,|红海行动，给9分！跟战狼2比较是必然了，个人更喜欢红海行动。因为相对于吴京的个人英雄主义，我更喜欢红海行动的集体英雄主义。集体英雄主义在今天也更加贴合现实需要。故事全程紧凑无尿点<虽然我中间有去厕所>，画面残酷得十分真实震撼，尤其是炸掉的汽车 ​			...展开全文c,omg迷张孝全,//weibo.com/1584384495/G3Lciu77P?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,10,|红海行动，为中国军人点赞，如果说《战狼2》突出的个人英雄主义，那么《红海行动》更凸显集体主义，场面要比《战狼2》宏大，从头打到尾，太过瘾了。 ​		,葡式蛋挞Orz,//weibo.com/1691122115/G3L585hcC?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,11,		看到红海行动口碑不错，就拉着我妈去看了。真的是从头打到尾啊不过这片子最好的一点是没有主角光环，战争很残酷必定会伴随着牺牲，007是不存在的。个人英雄主义的片子无论宣扬的是什么总会把我看笑。集体英雄主义就还好。片子战斗部分相对真实。ps:既然是海政出品，还不拍舷号 ​		,devil_maybe,//weibo.com/1760166095/G3KNWcAx0?refer_flag=1001030103_
集体行动; 2018-02-19; 1; 10,12,		大晚上看红海行动看的热血沸腾，同时吓的腿都麻了，还不忘全程找我顾顺@Johnny黄景瑜 如今太需要这样的集体英雄主义的爱国篇了。勇者无畏，强者无敌 ​​​		,关关雎鸠Gsy,//weibo.com/3921285110/G3KKDtWui?refer_flag=1001030103_
